1594915927174 DEVICE_BOUNDARIES 798 1278
1594915947799 0 678 938 -1
1594915947825 0 679 932 -1
1594915947837 0 680 929 -1
1594915947864 0 681 922 -1
1594915947874 0 682 919 -1
1594915947886 0 683 916 -1
1594915947899 0 684 913 -1
1594915947910 0 685 910 -1
1594915947923 0 686 908 -1
1594915947934 0 687 905 -1
1594915947948 0 688 903 -1
1594915947959 0 690 900 -1
1594915947973 0 691 898 -1
1594915947984 0 692 895 -1
1594915947996 0 693 892 -1
1594915948010 0 695 889 -1
1594915948021 0 696 887 -1
1594915948047 0 697 882 -1
1594915948058 0 698 879 -1
1594915948070 0 699 877 -1
1594915948085 0 700 874 -1
1594915948094 0 702 871 -1
1594915948107 0 704 868 -1
1594915948121 0 707 865 -1
1594915948131 0 717 858 -1
1594915948143 0 727 850 -1
1594915948890 0 681 998 -1
1594915948937 0 680 996 -1
1594915948961 0 681 993 -1
1594915948973 0 682 989 -1
1594915948986 0 683 984 -1
1594915949012 0 684 970 -1
1594915949022 0 685 965 -1
1594915949034 0 686 960 -1
1594915949046 0 687 955 -1
1594915949072 0 688 947 -1
1594915949083 0 689 943 -1
1594915949120 0 690 935 -1
1594915949206 0 689 924 -1
1594915949257 0 688 921 -1
1594915949800 0 675 1013 -1
1594915949834 0 674 1011 -1
1594915949846 0 673 1009 -1
1594915949858 0 672 1005 -1
1594915949870 0 671 1001 -1
1594915949883 0 670 997 -1
1594915949895 0 669 992 -1
1594915949907 0 668 988 -1
1594915949920 0 667 984 -1
1594915949943 0 666 975 -1
1594915949969 0 665 967 -1
1594915950006 0 664 958 -1
1594915950345 0 666 930 -1
1594915950357 0 668 927 -1
1594915950369 0 670 924 -1
1594915950383 0 672 920 -1
1594915950394 0 675 915 -1
1594915950405 0 678 911 -1
1594915950420 0 681 906 -1
1594915950431 0 685 900 -1
1594915950443 0 689 893 -1
1594915950455 0 694 888 -1
1594915950467 0 707 876 -1
1594915950480 0 730 856 -1
1594915950492 0 742 843 -1
1594915950504 0 751 832 -1
1594915951016 0 680 986 -1
1594915951047 0 682 981 -1
1594915951060 0 683 979 -1
1594915951071 0 684 976 -1
1594915951086 0 686 971 -1
1594915951097 0 688 966 -1
1594915951109 0 690 959 -1
1594915951120 0 692 952 -1
1594915951133 0 694 940 -1
1594915951147 0 698 928 -1
1594915951168 0 700 917 -1
1594915951172 0 702 905 -1
1594915951182 0 705 896 -1
1594915951193 0 711 885 -1
1594915951206 0 727 865 -1
1594915951660 0 683 970 1
1594915951708 0 685 968 1
1594915951719 0 687 965 1
1594915951731 0 689 959 1
1594915951744 0 693 947 1
1594915951757 0 697 932 1
1594915951772 0 701 916 1
1594915951781 0 707 902 1
1594915951795 0 723 878 1
1594915951806 0 738 854 1
1594915952113 0 684 969 1
1594915952185 0 685 967 1
1594915952212 0 686 963 1
1594915952449 0 687 939 1
1594915952462 0 688 936 1
1594915952475 0 689 930 1
1594915952493 0 693 919 1
1594915952497 0 697 904 1
1594915952512 0 715 880 1
1594915952524 0 731 859 1
1594915952877 0 686 975 -1
1594915952894 0 687 968 -1
1594915952905 0 690 961 -1
1594915952918 0 693 948 -1
1594915952931 0 697 933 -1
1594915952944 0 701 918 -1
1594915952955 0 707 903 -1
1594915952967 0 722 880 -1
1594915952980 0 737 860 -1
1594915953243 0 684 966 -1
1594915953315 0 685 960 -1
1594915953513 0 684 938 -1
1594915953932 0 679 1009 -1
1594915953992 0 678 1007 -1
1594915954029 0 679 995 -1
1594915954054 0 680 978 -1
1594915954066 0 681 968 -1
1594915954078 0 682 960 -1
1594915954090 0 683 953 -1
1594915954103 0 685 946 -1
1594915954115 0 686 939 -1
1594915954128 0 687 932 -1
1594915954139 0 688 924 -1
1594915954151 0 692 912 -1
1594915954163 0 703 890 -1
1594915954176 0 720 869 -1
1594915954527 0 671 1010 -1
1594915954611 0 672 996 -1
1594915954623 0 673 991 -1
1594915954640 0 675 986 -1
1594915954649 0 676 981 -1
1594915954660 0 677 976 -1
1594915954671 0 678 971 -1
1594915954699 0 679 963 -1
1594915954708 0 680 960 -1
1594915954732 0 681 954 -1
1594915954755 0 682 950 -1
1594915954779 0 683 946 -1
1594915954794 0 684 943 -1
1594915954805 0 685 938 -1
1594915954818 0 687 932 -1
1594915954830 0 690 922 -1
1594915954845 0 695 909 -1
1594915954855 0 710 886 -1
1594915955225 0 682 970 -1
1594915955252 0 681 968 -1
1594915955284 0 682 964 -1
1594915955345 0 683 957 -1
1594915955346 0 684 955 -1
1594915955369 0 685 949 -1
1594915955376 0 686 946 -1
1594915955396 0 687 942 -1
1594915955408 0 688 940 -1
1594915955431 0 689 935 -1
1594915955458 0 690 931 -1
1594915955481 0 691 929 -1
1594915955519 0 690 924 -1
1594915955543 0 692 917 -1
1594915956278 0 680 982 -1
1594915956288 0 681 976 -1
1594915956289 0 682 965 -1
1594915956290 0 683 959 -1
1594915956291 0 684 952 -1
1594915956291 0 685 946 -1
1594915956292 0 686 939 -1
1594915956292 0 687 933 -1
1594915956292 0 688 927 -1
1594915956292 0 689 922 -1
1594915956292 0 690 917 -1
1594915956293 0 691 913 -1
1594915956293 0 692 909 -1
1594915956293 0 693 906 -1
1594915956857 0 324 1232 -1
1594915959246 0 679 994 -1
1594915959267 0 678 992 -1
1594915959279 0 679 991 -1
1594915959303 0 681 989 -1
1594915959315 0 682 986 -1
1594915959328 0 683 981 -1
1594915959341 0 685 974 -1
1594915959355 0 687 966 -1
1594915959365 0 689 959 -1
1594915959378 0 691 951 -1
1594915959390 0 692 945 -1
1594915959403 0 694 938 -1
1594915959415 0 696 931 -1
1594915959427 0 698 924 -1
1594915959438 0 700 917 -1
1594915959452 0 703 906 -1
1594915959462 0 707 898 -1
1594915959477 0 712 890 -1
1594915959487 0 718 882 -1
1594915959500 0 725 873 -1
1594915959511 0 733 865 -1
1594915959523 0 737 856 -1
1594915959535 0 745 847 -1
1594915959546 0 762 830 -1
1594915959559 0 768 822 -1
1594915959855 0 717 902 1
1594915959868 0 719 899 1
1594915959880 0 721 897 1
1594915959892 0 723 895 1
1594915959905 0 725 891 1
1594915959918 0 727 887 1
1594915959929 0 730 883 1
1594915959942 0 733 879 1
1594915959954 0 736 874 1
1594915959969 0 740 870 1
1594915959979 0 743 867 1
1594915959990 0 746 863 1
1594915960016 0 747 858 1
1594915960042 0 748 853 1
1594915960076 0 749 850 1
1594915960378 0 752 847 1
1594915960497 0 751 846 1
1594915960533 0 749 845 1
1594915961198 0 682 965 -1
1594915961257 0 683 955 -1
1594915961269 0 684 948 -1
1594915961280 0 686 936 -1
1594915961297 0 689 925 -1
1594915961307 0 692 913 -1
1594915961321 0 695 901 -1
1594915961331 0 701 889 -1
1594915961342 0 709 878 -1
1594915961353 0 720 867 -1
1594915961370 0 728 855 -1
1594915961696 0 685 959 1
1594915961742 0 686 957 1
1594915961753 0 687 956 1
1594915961765 0 688 955 1
1594915961778 0 689 952 1
1594915961789 0 690 949 1
1594915961802 0 692 944 1
1594915961814 0 694 940 1
1594915961826 0 695 934 1
1594915961840 0 696 929 1
1594915961851 0 698 923 1
1594915961867 0 700 917 1
1594915961878 0 702 910 1
1594915961887 0 708 898 1
1594915961900 0 720 883 1
1594915962405 0 681 974 1
1594915962440 0 682 971 1
1594915962452 0 683 969 1
1594915962464 0 686 963 1
1594915962476 0 691 948 1
1594915962490 0 700 919 1
1594915962500 0 712 895 1
1594915962515 0 726 873 1
1594915962525 0 739 848 1
1594915962538 0 758 823 1
1594915962810 0 686 950 1
1594915962858 0 687 948 1
1594915962882 0 688 946 1
1594915962893 0 689 944 1
1594915962919 0 690 939 1
1594915962932 0 691 936 1
1594915962954 0 692 927 1
1594915962981 0 693 922 1
1594915962987 0 695 917 1
1594915962994 0 696 911 1
1594915963003 0 697 905 1
1594915963016 0 699 899 1
1594915963028 0 702 891 1
1594915963043 0 709 878 1
1594915963052 0 730 850 1
1594915963470 0 677 978 1
1594915963486 0 678 976 1
1594915963499 0 679 975 1
1594915963510 0 681 970 1
1594915963523 0 687 958 1
1594915963535 0 694 941 1
1594915963549 0 705 914 1
1594915963560 0 715 892 1
1594915963572 0 728 871 1
1594915963586 0 740 847 1
1594915963907 0 694 912 -1
1594915963952 0 696 910 -1
1594915963963 0 697 909 -1
1594915963990 0 699 908 -1
1594915964016 0 700 906 -1
1594915964022 0 701 905 -1
1594915964052 0 702 902 -1
1594915964083 0 703 897 -1
1594915964121 0 704 892 -1
1594915964184 0 705 886 -1
1594915964327 0 705 881 -1
1594915964352 0 706 879 -1
1594915964383 0 707 876 -1
1594915964403 0 709 875 -1
1594915964415 0 710 873 -1
1594915964427 0 711 871 -1
1594915964438 0 715 866 -1
1594915964453 0 725 854 -1
1594915964462 0 733 841 -1
1594915964815 0 681 954 1
1594915964883 0 682 951 1
1594915964889 0 684 947 1
1594915964897 0 686 941 1
1594915964909 0 688 933 1
1594915964923 0 691 925 1
1594915964934 0 694 918 1
1594915964954 0 696 910 1
1594915964960 0 698 903 1
1594915964971 0 703 892 1
1594915964985 0 713 879 1
1594915965342 0 686 949 -1
1594915965402 0 687 946 -1
1594915965414 0 688 944 -1
1594915965438 0 689 940 -1
1594915965452 0 690 937 -1
1594915965462 0 691 934 -1
1594915965488 0 692 926 -1
1594915965499 0 693 922 -1
1594915965510 0 694 918 -1
1594915965523 0 696 914 -1
1594915965536 0 697 911 -1
1594915965560 0 698 905 -1
1594915965573 0 699 901 -1
1594915965587 0 700 898 -1
1594915965609 0 701 891 -1
1594915965634 0 703 884 -1
1594915965648 0 704 879 -1
1594915965659 0 706 875 -1
1594915965672 0 719 863 -1
1594915965997 0 715 920 1
1594915966048 0 716 916 1
1594915966074 0 717 914 1
1594915966099 0 718 911 1
1594915966119 0 719 907 1
1594915966144 0 720 903 1
1594915966157 0 721 902 1
1594915966193 0 722 898 1
1594915966231 0 721 895 1
1594915966471 0 722 890 1
1594915966580 0 723 887 1
1594915966621 0 724 886 1
1594915966654 0 723 884 1
1594915966692 0 722 881 1
1594915966751 0 723 880 1
1594915966800 0 724 879 1
1594915966841 0 725 877 1
1594915966876 0 726 875 1
1594915966918 0 727 872 1
1594915966946 0 728 868 1
1594915966970 0 729 866 1
1594915966983 0 730 865 1
1594915967012 0 731 863 1
1594915967043 0 732 860 1
1594915967309 0 733 854 1
1594915967468 0 734 852 1
1594915967855 0 735 850 1
1594915967951 0 736 849 1
1594915968035 0 737 847 1
1594915968072 0 738 846 1
1594915968133 0 739 845 1
1594915968304 0 737 845 1
1594915968317 0 736 846 1
1594915972385 0 680 969 1
1594915972425 0 679 967 1
1594915972467 0 680 964 1
1594915972478 0 681 953 1
1594915972487 0 682 948 1
1594915972499 0 683 943 1
1594915972511 0 684 939 1
1594915972527 0 685 935 1
1594915972537 0 686 931 1
1594915972551 0 687 928 1
1594915972566 0 688 925 1
1594915972587 0 689 920 1
1594915972600 0 690 919 1
1594915972623 0 691 916 1
1594915972819 0 689 916 1
1594915973967 0 704 948 1
1594915974005 0 705 944 1
1594915974017 0 706 937 1
1594915974030 0 710 923 1
1594915974041 0 716 906 1
1594915974053 0 730 878 1
1594915974067 0 745 847 1
1594915974408 0 696 940 -1
1594915974441 0 697 938 -1
1594915974457 0 698 937 -1
1594915974465 0 700 934 -1
1594915974479 0 702 927 -1
1594915974495 0 705 916 -1
1594915974509 0 709 904 -1
1594915974515 0 714 891 -1
1594915974528 0 730 867 -1
1594915974539 0 745 843 -1
1594915974551 0 756 821 -1
1594915974827 0 715 938 -1
1594915974874 0 716 936 -1
1594915974886 0 717 935 -1
1594915974898 0 718 932 -1
1594915974919 0 719 929 -1
1594915974935 0 720 919 -1
1594915974948 0 721 914 -1
1594915974960 0 723 908 -1
1594915974972 0 724 903 -1
1594915974983 0 725 897 -1
1594915975009 0 726 890 -1
1594915975094 0 725 876 -1
1594915975191 0 724 875 -1
1594915975717 0 762 840 -1
1594915975733 0 760 841 -1
1594915975741 0 758 843 -1
1594915975745 0 756 846 -1
1594915975756 0 755 850 -1
1594915975770 0 753 854 -1
1594915975781 0 752 858 -1
1594915975816 0 750 875 -1
1594915975829 0 747 882 -1
1594915975842 0 744 888 -1
1594915975852 0 742 893 -1
1594915975865 0 739 898 -1
1594915975876 0 737 902 -1
1594915975890 0 736 906 -1
1594915975901 0 735 909 -1
1594915975914 0 734 912 -1
1594915975931 0 733 914 -1
1594915975944 0 732 915 -1
1594915975950 0 731 917 -1
1594915975974 0 730 919 -1
1594915975998 0 729 921 -1
1594915976035 0 728 922 -1
1594915976218 0 726 922 -1
1594915976255 0 725 920 -1
1594915976315 0 726 918 -1
1594915976352 0 727 912 -1
1594915976377 0 728 902 -1
1594915976389 0 729 896 -1
1594915976401 0 730 892 -1
1594915976427 0 731 883 -1
1594915976437 0 733 879 -1
1594915976466 0 734 876 -1
1594915976473 0 736 872 -1
1594915976480 0 738 869 -1
1594915976486 0 739 866 -1
1594915976498 0 741 863 -1
1594915976510 0 743 861 -1
1594915976522 0 745 858 -1
1594915976535 0 746 856 -1
1594915976545 0 747 855 -1
1594915976558 0 748 853 -1
1594915976570 0 749 852 -1
1594915976679 0 748 850 -1
1594915976968 0 696 956 -1
1594915977007 0 698 955 -1
1594915977015 0 699 954 -1
1594915977026 0 700 952 -1
1594915977038 0 701 949 -1
1594915977051 0 702 942 -1
1594915977066 0 704 935 -1
1594915977076 0 705 928 -1
1594915977088 0 706 921 -1
1594915977100 0 707 916 -1
1594915977125 0 709 911 -1
1594915977138 0 711 905 -1
1594915977139 0 712 899 -1
1594915977149 0 715 893 -1
1594915977162 0 717 888 -1
1594915977178 0 719 882 -1
1594915977185 0 724 874 -1
1594915977198 0 732 864 -1
1594915977212 0 738 852 -1
1594915977223 0 743 843 -1
1594915977233 0 750 834 -1
1594915977540 0 696 942 -1
1594915977558 0 697 940 -1
1594915977571 0 698 939 -1
1594915977583 0 699 938 -1
1594915977594 0 700 936 -1
1594915977607 0 701 932 -1
1594915977622 0 703 928 -1
1594915977632 0 705 923 -1
1594915977645 0 706 919 -1
1594915977655 0 707 914 -1
1594915977678 0 708 911 -1
1594915977688 0 709 907 -1
1594915977694 0 711 903 -1
1594915977705 0 713 899 -1
1594915977720 0 715 894 -1
1594915977730 0 716 891 -1
1594915977741 0 718 887 -1
1594915977754 0 720 884 -1
1594915977767 0 722 881 -1
1594915977785 0 723 878 -1
1594915977792 0 725 875 -1
1594915977803 0 726 872 -1
1594915977816 0 728 870 -1
1594915977828 0 730 867 -1
1594915977839 0 732 864 -1
1594915977851 0 734 861 -1
1594915977866 0 737 858 -1
1594915977877 0 740 854 -1
1594915977890 0 744 846 -1
1594915977901 0 750 837 -1
1594915977920 0 758 826 -1
1594915977925 0 765 817 -1
1594915978222 0 696 946 1
1594915978258 0 698 945 1
1594915978271 0 699 944 1
1594915978284 0 701 942 1
1594915978298 0 702 939 1
1594915978307 0 703 932 1
1594915978319 0 705 921 1
1594915978333 0 706 912 1
1594915978348 0 709 903 1
1594915978358 0 712 896 1
1594915978368 0 715 889 1
1594915978380 0 718 883 1
1594915978396 0 722 875 1
1594915978411 0 733 863 1
1594915978756 0 692 956 1
1594915978788 0 694 953 1
1594915978801 0 696 951 1
1594915978815 0 697 946 1
1594915978825 0 700 934 1
1594915978837 0 703 921 1
1594915978850 0 705 908 1
1594915978866 0 709 897 1
1594915978874 0 714 885 1
1594915978886 0 730 862 1
1594915979329 0 690 970 1
1594915979367 0 692 968 1
1594915979390 0 693 965 1
1594915979390 0 695 960 1
1594915979401 0 697 954 1
1594915979414 0 698 947 1
1594915979432 0 699 941 1
1594915979444 0 700 935 1
1594915979451 0 702 930 1
1594915979464 0 703 926 1
1594915979474 0 704 923 1
1594915979487 0 705 921 1
1594915979500 0 706 919 1
1594915979526 0 707 917 1
1594915979595 0 705 917 1
1594915979634 0 703 918 1
1594915979657 0 702 919 1
1594915979681 0 701 921 1
1594915979816 0 700 927 1
1594915981999 0 703 954 1
1594915982061 0 704 952 1
1594915982068 0 705 951 1
1594915982076 0 706 949 1
1594915982098 0 707 943 1
1594915982110 0 708 939 1
1594915982123 0 709 936 1
1594915982132 0 711 932 1
1594915982144 0 712 928 1
1594915982156 0 714 924 1
1594915982168 0 715 920 1
1594915982192 0 716 914 1
1594915982205 0 717 911 1
1594915982220 0 718 909 1
1594915982241 0 719 904 1
1594915982259 0 720 902 1
1594915982266 0 721 900 1
1594915982278 0 722 898 1
1594915982303 0 723 895 1
1594915982314 0 724 894 1
1594915982417 0 727 890 1
1594915983902 0 709 940 -1
